,Actual value,Predicted value
6491,0.0,2.2842192317630863
4992,0.0,2.2842192317630863
3519,0.0,2.2842192317630863
945,0.0,2.2842192317630863
70,0.0,2.2842192317630863
4283,0.0,2.2842192317630863
5022,0.0,2.2842192317630863
1317,0.0,2.2842192317630863
4138,20.9,2.2842192317630863
2423,5.9,17.46440280407526
2578,0.0,2.2842192317630863
4703,0.0,2.2842192317630863
670,0.0,2.2842192317630863
4879,13.7,2.2842192317630863
7206,14.8,2.2842192317630863
5208,22.4,2.2842192317630863
799,0.0,2.2842192317630863
2505,0.0,2.2842192317630863
224,0.0,2.2842192317630863
7172,0.0,2.2842192317630863
3962,0.0,2.2842192317630863
1190,0.0,2.2842192317630863
5486,4.4,5.203485303361582
6498,4.4,5.4224302587314686
212,0.0,2.2842192317630863
3823,14.1,2.2842192317630863
1005,4.6,10.67710918760876
6539,44.3,2.2842192317630863
4865,0.0,2.2842192317630863
2653,0.0,2.2842192317630863
5736,0.0,2.2842192317630863
4336,0.0,2.2842192317630863
3453,0.0,2.2842192317630863
3445,0.0,2.2842192317630863
1578,0.0,2.2842192317630863
3107,0.0,2.2842192317630863
5288,14.6,8.26871467854
5419,0.0,2.2842192317630863
3316,0.0,2.2842192317630863
1842,0.0,2.2842192317630863
1459,0.0,2.2842192317630863
1546,0.0,2.2842192317630863
3537,0.0,2.2842192317630863
2049,0.0,2.2842192317630863
692,0.0,2.2842192317630863
2063,0.0,2.2842192317630863
160,0.0,2.2842192317630863
1251,0.0,2.2842192317630863
1624,0.0,2.2842192317630863
917,0.0,2.2842192317630863
4526,1.9,2.2842192317630863
6775,0.0,2.2842192317630863
4365,0.0,2.2842192317630863
1465,0.0,2.2842192317630863
3644,0.0,2.2842192317630863
2829,0.0,2.2842192317630863
1116,0.0,2.2842192317630863
5313,0.0,2.2842192317630863
5667,0.0,2.2842192317630863
4272,0.0,2.2842192317630863
6720,0.0,2.2842192317630863
6395,0.0,2.2842192317630863
4378,0.0,2.2842192317630863
1292,0.0,2.2842192317630863
2644,0.0,2.2842192317630863
4430,0.0,2.2842192317630863
4053,0.0,2.2842192317630863
4273,0.0,2.2842192317630863
6733,0.0,2.2842192317630863
7241,1.8,2.2842192317630863
1387,0.0,2.2842192317630863
4652,0.0,2.2842192317630863
4281,0.0,2.2842192317630863
5258,0.0,2.2842192317630863
912,0.0,2.2842192317630863
6394,0.0,2.2842192317630863
259,0.0,2.2842192317630863
4331,0.0,2.2842192317630863
1020,0.0,2.2842192317630863
4314,0.0,2.2842192317630863
505,0.0,2.2842192317630863
1638,0.0,2.2842192317630863
2980,4.4,2.2842192317630863
6648,0.0,2.2842192317630863
6982,0.0,2.2842192317630863
4625,0.0,2.2842192317630863
4057,0.0,2.2842192317630863
4539,7.4,2.2842192317630863
2707,0.0,2.2842192317630863
4302,1.8,2.2842192317630863
3165,0.0,2.2842192317630863
262,0.0,2.2842192317630863
5863,46.7,2.2842192317630863
7212,33.2,2.2842192317630863
6144,0.0,2.2842192317630863
5203,0.0,2.2842192317630863
3237,0.0,2.2842192317630863
4438,0.0,2.2842192317630863
2606,0.0,2.2842192317630863
3836,0.0,2.2842192317630863
4664,0.0,2.2842192317630863
5548,0.0,2.2842192317630863
5978,0.0,2.2842192317630863
3770,0.0,2.2842192317630863
